MunicIpio,Cabecera Municipal,Sección,PAN,PRI-PVEM-NA,PRD,PT,M C,PRD-PT-MC,PRD-PT,PRD-MC,PT-MC,No Reg,Nulos,TOTAL,
,,,,,,,,,,,,,,,
107,TOLUCA,5169,275,657,169,24,21,0,0,0,0,2,48,1196,55%
107,TOLUCA,5170,413,706,244,31,40,0,0,0,0,3,69,1506,47%
107,TOLUCA,5171,266,534,129,15,19,0,0,0,0,5,38,1006,53%
107,TOLUCA,5172,164,341,68,14,9,0,0,0,0,3,21,620,55%
107,TOLUCA,5173,259,577,90,12,15,0,0,0,0,0,29,982,59%
107,TOLUCA,5174,524,600,149,20,9,0,0,0,0,1,32,1335,45%
107,TOLUCA,5175,366,542,153,28,21,0,0,0,0,0,38,1148,47%
107,TOLUCA,5176,452,673,203,30,23,0,0,0,0,2,30,1413,48%
107,TOLUCA,5177,477,598,238,32,20,0,0,0,0,0,44,1409,42%
107,TOLUCA,5178,590,582,217,36,25,0,0,0,0,1,43,1494,39%
107,TOLUCA,5179,461,576,187,19,14,0,0,0,0,2,45,1304,44%
107,TOLUCA,5180,376,508,139,15,21,0,0,0,0,1,38,1098,46%
107,TOLUCA,5181,239,385,102,11,13,0,0,0,0,0,30,780,49%
107,TOLUCA,5182,60,177,34,5,9,0,0,0,0,0,14,299,59%
107,TOLUCA,5183,180,378,97,18,9,0,0,0,0,0,25,707,53%
107,TOLUCA,5184,254,451,107,18,11,0,0,0,0,0,34,875,52%
107,TOLUCA,5185,397,767,174,20,22,0,0,0,0,3,53,1436,53%
107,TOLUCA,5186,336,638,167,21,9,0,0,0,0,1,95,1267,50%
107,TOLUCA,5187,195,462,155,13,10,0,0,0,0,1,53,889,52%
107,TOLUCA,5188,429,857,404,32,26,0,0,0,0,3,96,1847,46%
107,TOLUCA,5189,307,533,138,18,15,0,0,0,0,0,39,1050,51%
107,TOLUCA,5190,225,852,257,20,23,0,0,0,0,2,66,1445,59%
107,TOLUCA,5191,473,560,170,26,41,0,0,0,0,3,42,1315,43%
107,TOLUCA,5192,362,465,108,14,19,0,0,0,0,1,25,994,47%
107,TOLUCA,5193,353,442,123,13,25,0,0,0,0,3,24,983,45%
107,TOLUCA,5194,108,148,55,2,3,0,0,0,0,0,8,324,46%
107,TOLUCA,5195,53,44,10,0,2,0,0,0,0,0,7,116,38%
107,TOLUCA,5196,114,143,33,6,1,0,0,0,0,0,11,308,46%
107,TOLUCA,5197,89,162,41,3,5,0,0,0,0,0,13,313,52%
107,TOLUCA,5198,320,520,149,12,19,0,0,0,0,1,32,1053,49%
107,TOLUCA,5199,210,244,52,9,12,0,0,0,0,0,13,540,45%
107,TOLUCA,5200,202,378,95,17,11,0,0,0,0,1,24,728,52%
107,TOLUCA,5201,363,469,145,28,16,0,0,0,0,1,40,1062,44%
107,TOLUCA,5202,465,454,146,24,6,0,0,0,0,1,30,1126,40%
107,TOLUCA,5203,613,847,264,35,27,0,0,0,0,0,66,1852,46%
107,TOLUCA,5204,38,71,6,4,3,0,0,0,0,0,4,126,56%
107,TOLUCA,5205,204,274,71,14,11,0,0,0,0,4,26,604,45%
107,TOLUCA,5206,250,348,86,18,8,0,0,0,0,0,15,725,48%
107,TOLUCA,5207,187,307,71,7,7,0,0,0,0,1,19,599,51%
107,TOLUCA,5208,64,93,20,4,3,0,0,0,0,0,8,192,48%
107,TOLUCA,5209,82,107,33,7,5,0,0,0,0,3,2,239,45%
107,TOLUCA,5210,144,160,43,5,7,0,0,0,0,2,9,370,43%
107,TOLUCA,5211,131,180,43,8,4,0,0,0,0,0,12,378,48%
107,TOLUCA,5212,99,123,41,5,4,0,0,0,0,0,8,280,44%
107,TOLUCA,5213,235,325,70,14,7,0,0,0,0,2,19,672,48%
107,TOLUCA,5214,371,458,93,6,10,0,0,0,0,2,25,965,47%
107,TOLUCA,5215,213,271,68,8,6,0,0,0,0,0,22,588,46%
107,TOLUCA,5216,281,292,51,16,4,0,0,0,0,1,21,666,44%
107,TOLUCA,5217,247,352,118,12,13,0,0,0,0,12,28,782,45%
107,TOLUCA,5218,400,423,92,10,19,0,0,0,0,3,30,977,43%
107,TOLUCA,5219,343,606,168,23,18,0,0,0,0,0,41,1199,51%
107,TOLUCA,5220,301,437,89,13,9,0,0,0,0,0,33,882,50%
107,TOLUCA,5221,227,358,77,7,8,0,0,0,0,1,12,690,52%
107,TOLUCA,5222,208,408,91,9,6,0,0,0,0,0,25,747,55%
107,TOLUCA,5223,248,387,103,14,9,0,0,0,0,2,29,792,49%
107,TOLUCA,5224,274,348,105,16,14,0,0,0,0,0,17,774,45%
107,TOLUCA,5225,246,335,79,11,16,0,0,0,0,1,19,707,47%
107,TOLUCA,5226,310,461,102,9,20,0,0,0,0,2,33,937,49%
107,TOLUCA,5227,357,472,121,20,29,0,0,0,0,2,46,1047,45%
107,TOLUCA,5228,263,376,84,9,18,0,0,0,0,0,21,771,49%
107,TOLUCA,5229,198,361,98,15,21,0,0,0,0,3,17,713,51%
107,TOLUCA,5230,245,325,44,8,9,0,0,0,0,1,15,647,50%
107,TOLUCA,5231,408,514,134,15,13,0,0,0,0,2,43,1129,46%
107,TOLUCA,5232,478,590,161,22,20,0,0,0,0,2,34,1307,45%
107,TOLUCA,5233,281,397,45,6,8,0,0,0,0,2,27,766,52%
107,TOLUCA,5234,269,414,51,11,9,0,0,0,0,3,27,784,53%
