Municipio,Cabecera Municipal,Sección,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,PH,PES,PFD,PRI PVEM NA,PRI PVEM,PRI NA,PVEM NA,PAN PT,Candidato Independiente,Candidato Independiente,No Registrados,Nulos,Total
107,TOLUCA,5169,216,371,66,53,39,30,42,59,21,29,22,1,2,0,0,0,0,0,3,39,993
107,TOLUCA,5170,294,435,91,85,23,37,38,64,34,45,4,1,3,0,0,0,0,0,2,44,1200
107,TOLUCA,5171,228,347,54,21,19,30,29,45,16,30,1,2,5,0,0,0,0,0,0,23,850
107,TOLUCA,5172,87,218,22,20,12,5,15,21,19,26,3,2,1,0,0,0,0,0,1,30,482
107,TOLUCA,5173,148,338,47,18,16,39,19,33,21,44,7,1,0,0,0,0,0,0,0,37,768
107,TOLUCA,5174,464,322,77,55,25,30,34,60,35,42,8,0,2,1,0,0,0,0,2,41,1198
107,TOLUCA,5175,277,256,69,36,27,42,19,65,31,43,8,1,4,0,0,0,0,0,1,23,902
107,TOLUCA,5176,379,365,63,38,20,38,21,70,25,60,4,2,1,0,0,0,0,0,3,43,1132
107,TOLUCA,5177,377,342,81,36,23,32,33,84,38,49,7,1,1,0,0,0,0,0,0,57,1161
107,TOLUCA,5178,514,291,53,29,20,37,19,92,35,74,10,0,0,0,0,0,0,0,4,61,1239
107,TOLUCA,5179,341,309,70,32,23,38,20,69,37,50,7,0,0,0,0,0,0,0,1,33,1030
107,TOLUCA,5180,282,232,49,40,16,31,10,53,20,32,0,0,2,0,0,0,0,0,4,29,800
107,TOLUCA,5181,200,197,34,53,13,27,16,36,8,30,0,0,0,0,0,0,0,0,1,30,645
107,TOLUCA,5182,50,111,9,9,7,5,11,15,8,21,3,1,0,0,0,0,0,0,0,14,264
107,TOLUCA,5183,144,240,31,21,12,26,15,42,12,28,2,0,2,0,0,0,0,0,0,23,598
107,TOLUCA,5184,193,250,37,27,15,13,22,29,15,30,2,0,4,0,0,0,0,0,0,22,659
107,TOLUCA,5185,287,418,90,34,22,23,48,56,25,41,8,0,5,0,0,0,0,0,0,45,1102
107,TOLUCA,5186,295,312,71,59,37,21,32,45,37,51,14,0,5,1,0,0,0,0,5,48,1033
107,TOLUCA,5187,166,268,58,44,14,29,18,31,15,25,6,0,7,0,0,0,0,0,0,42,723
107,TOLUCA,5188,401,535,139,77,35,30,30,85,45,53,7,0,6,0,0,0,0,0,0,55,1498
107,TOLUCA,5189,235,307,63,26,14,18,27,35,15,18,4,0,2,0,0,0,0,0,1,35,800
107,TOLUCA,5190,191,624,139,57,30,25,29,49,32,43,4,8,4,0,2,0,0,0,0,36,1273
107,TOLUCA,5191,410,262,76,36,28,29,33,75,33,42,5,1,17,0,0,0,0,0,3,45,1095
107,TOLUCA,5192,332,217,36,37,13,25,19,38,19,29,3,0,4,0,0,0,0,0,1,26,799
107,TOLUCA,5193,278,189,58,40,15,27,5,33,17,40,5,1,9,0,0,0,0,0,1,33,751
107,TOLUCA,5194,74,66,10,21,6,8,3,8,8,7,1,0,0,0,0,0,0,0,0,8,220
107,TOLUCA,5195,54,32,3,6,1,1,3,6,0,4,0,0,0,0,0,0,0,0,0,4,114
107,TOLUCA,5196,80,72,6,12,2,8,6,15,5,1,0,0,1,0,0,0,0,0,0,17,225
107,TOLUCA,5197,65,98,16,18,4,4,5,14,6,9,1,1,0,0,0,0,0,0,1,10,252
107,TOLUCA,5198,176,266,60,28,15,11,15,32,20,19,4,0,2,0,0,0,0,0,0,33,681
107,TOLUCA,5199,137,101,23,18,7,20,12,16,4,1,0,0,0,0,0,0,0,0,0,22,361
107,TOLUCA,5200,170,208,29,21,15,20,13,33,10,19,2,0,1,0,0,0,0,0,0,20,561
107,TOLUCA,5201,282,238,60,37,24,25,18,67,29,35,9,1,1,0,0,0,0,0,1,41,868
107,TOLUCA,5202,364,254,45,27,14,24,12,43,20,35,9,0,0,0,0,0,0,0,1,44,892
107,TOLUCA,5203,485,445,95,57,39,37,41,108,40,86,4,0,1,1,0,0,0,0,2,58,1499
107,TOLUCA,5204,45,35,1,9,2,4,1,1,0,4,1,0,0,0,0,0,0,0,0,1,104
107,TOLUCA,5205,146,11,41,38,4,14,5,20,7,23,4,0,0,0,0,0,0,0,2,17,332
107,TOLUCA,5206,197,145,30,22,8,11,13,37,9,13,6,0,2,0,0,0,0,0,0,23,516
107,TOLUCA,5207,165,111,30,31,9,10,6,32,15,10,2,0,0,0,0,0,0,0,1,27,449
107,TOLUCA,5208,61,51,16,8,2,5,3,5,2,1,1,0,2,0,0,0,0,0,0,9,166
107,TOLUCA,5209,59,59,9,8,1,7,3,10,1,10,3,0,0,0,0,0,0,0,0,9,179
107,TOLUCA,5210,103,77,20,18,5,5,1,8,3,7,0,0,2,0,0,0,0,0,3,9,261
107,TOLUCA,5211,95,84,11,38,10,8,4,16,4,9,0,0,0,0,0,0,0,0,1,16,296
107,TOLUCA,5212,83,52,8,21,2,7,7,7,8,3,2,0,1,0,0,0,0,0,0,7,208
107,TOLUCA,5213,212,135,23,33,6,16,11,36,10,9,4,1,1,0,0,0,0,0,0,26,523
107,TOLUCA,5214,297,211,47,49,11,19,20,23,14,29,8,0,4,0,0,0,0,0,4,22,758
107,TOLUCA,5215,215,133,25,13,1,16,9,14,9,9,3,1,0,0,0,0,0,0,1,9,458
107,TOLUCA,5216,243,99,19,50,7,7,7,29,4,11,3,1,0,0,0,0,0,0,2,18,500
107,TOLUCA,5217,261,169,31,20,14,12,13,40,13,20,2,0,7,0,0,0,0,0,1,29,632
107,TOLUCA,5218,456,165,38,43,6,15,14,23,11,14,7,1,0,0,0,0,0,0,0,29,822
107,TOLUCA,5219,380,305,45,41,21,19,15,50,25,26,9,0,0,0,0,0,0,0,0,37,973
107,TOLUCA,5220,273,199,45,40,13,25,10,16,16,26,1,0,1,0,0,0,0,0,1,34,700
107,TOLUCA,5221,189,184,39,45,14,9,9,17,9,20,2,1,1,0,0,0,0,0,0,16,555
107,TOLUCA,5222,183,199,41,50,8,17,17,30,9,16,7,0,0,0,0,0,0,0,0,32,609
107,TOLUCA,5223,203,189,37,43,9,10,15,38,20,25,1,1,3,0,0,0,0,0,2,19,615
107,TOLUCA,5224,226,123,22,40,12,84,12,36,23,28,3,0,0,0,0,0,0,0,4,23,636
107,TOLUCA,5225,245,139,32,57,4,11,10,23,7,27,6,0,1,0,0,0,0,0,0,21,583
107,TOLUCA,5226,269,187,30,37,13,23,8,32,21,22,11,0,7,0,0,0,0,0,2,27,689
107,TOLUCA,5227,254,196,44,26,28,38,13,50,39,47,4,0,0,0,0,0,0,0,1,41,781
107,TOLUCA,5228,209,189,23,28,16,22,11,33,21,25,3,0,3,0,0,0,0,0,2,21,606
107,TOLUCA,5229,165,210,34,19,26,20,9,44,16,38,0,0,3,0,0,0,0,0,1,25,610
107,TOLUCA,5230,185,154,14,30,8,8,8,14,18,15,2,1,3,0,0,0,0,0,3,22,485
107,TOLUCA,5231,317,208,63,58,14,18,17,40,26,25,3,0,4,0,0,0,0,0,0,29,822
107,TOLUCA,5232,370,247,54,43,20,21,23,35,28,49,9,1,0,0,0,0,0,0,0,38,938
107,TOLUCA,5233,274,158,10,59,6,9,7,16,6,6,0,0,2,0,0,0,0,0,0,27,580
107,TOLUCA,5234,265,180,30,35,6,20,11,23,13,24,3,0,3,0,0,0,0,0,1,17,631
107,TOLUCA,5235,247,182,30,45,15,27,9,41,19,29,3,0,1,0,0,0,0,0,0,32,680
107,TOLUCA,5236,536,277,36,37,18,27,10,37,10,28,2,0,1,0,0,0,0,0,1,36,1056
107,TOLUCA,5237,340,253,58,34,20,11,22,45,19,33,5,0,10,0,6,0,0,0,0,38,894
107,TOLUCA,5238,296,182,26,34,10,13,9,21,19,18,5,1,1,0,0,0,0,0,2,22,659
