SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,BASTIONES PRI,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,
5169,3,332,304,81,39,38,31,29,453,FALSO,26,61,3,3,0,0,6,4,7,1,1418,1,30,1449,2120,21%
5170,4,453,317,53,52,47,44,44,528,FALSO,34,59,6,1,2,2,15,5,0,1,1663,0,45,1708,2347,19%
5171,2,249,248,38,36,31,26,12,293,FALSO,14,32,1,4,0,1,3,3,0,1,992,1,23,1016,1449,24%
5172,2,155,147,28,23,12,11,9,201,FALSO,9,10,1,0,0,0,6,1,1,0,614,1,11,626,909,23%
5173,3,254,258,54,27,18,13,17,279,FALSO,21,33,5,2,0,0,8,4,0,1,994,0,24,1018,1547,25%
5174,4,489,231,33,33,29,20,14,417,FALSO,24,56,8,0,0,1,5,2,0,0,1362,0,17,1379,1785,17%
5175,3,372,224,40,41,45,32,16,417,FALSO,15,35,5,1,0,0,11,3,0,0,1257,0,24,1281,1674,17%
5176,3,430,309,50,74,27,24,23,418,FALSO,21,54,15,2,0,0,9,2,2,5,1465,2,23,1490,1888,21%
5177,3,471,289,55,56,45,32,31,543,FALSO,37,68,7,2,1,0,10,3,1,3,1654,1,45,1700,2194,17%
5178,4,608,271,41,44,43,24,20,528,FALSO,24,38,9,2,1,0,8,1,0,2,1664,2,35,1701,2270,16%
5179,3,454,261,58,60,33,30,25,453,FALSO,16,50,6,2,1,0,5,1,0,3,1458,2,18,1478,1937,18%
5180,2,305,190,22,42,21,21,14,340,FALSO,23,37,8,1,0,0,7,1,0,0,1032,0,29,1061,1387,18%
5181,2,209,149,20,22,16,11,10,287,FALSO,20,29,4,1,0,0,7,2,0,3,790,0,11,801,1082,19%
5182,1,67,94,7,8,4,7,2,83,#¡CALC!,4,5,1,1,2,0,3,1,0,1,290,0,13,303,452,31%
5183,2,199,151,42,33,19,10,14,252,FALSO,12,25,1,3,0,0,5,2,0,1,769,1,19,789,1007,19%
5184,2,223,208,17,29,18,16,14,256,FALSO,9,20,3,3,0,0,1,1,0,8,826,2,20,848,1157,25%
5185,3,357,324,53,53,28,38,20,518,FALSO,24,44,4,0,0,0,5,3,1,4,1476,1,48,1525,2124,21%
5186,3,370,260,38,60,31,30,29,459,FALSO,31,45,2,3,2,0,8,3,0,0,1371,1,23,1395,1890,19%
5187,2,239,211,52,32,26,22,22,328,FALSO,15,38,7,3,1,0,9,1,0,1,1007,1,23,1031,1456,20%
5188,4,545,408,84,69,44,38,28,727,FALSO,39,64,4,6,0,0,17,1,1,0,2075,1,36,2112,2894,19%
5189,3,305,244,52,46,21,20,22,342,FALSO,11,40,2,1,1,0,9,0,1,1,1118,1,20,1139,1554,21%
5190,4,331,474,53,72,32,36,30,586,FALSO,33,47,5,1,1,0,16,8,0,6,1731,1,64,1796,2546,26%
5191,3,424,225,42,38,35,23,19,485,FALSO,19,45,11,4,1,0,8,1,0,1,1381,1,20,1402,1788,16%
5192,2,291,210,32,49,23,16,11,340,FALSO,13,38,2,4,0,0,3,4,0,0,1036,1,18,1055,1341,20%
5193,2,307,160,31,43,25,15,8,316,FALSO,24,25,4,1,1,0,5,3,0,5,973,0,23,996,1274,16%
