SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PRI
5169,3,92,409,17,79,19,40,346,24,15,24,16,9,4,0,0,1,2,0,0,1097,0,29,1126,2244,36%
5170,4,179,457,13,67,20,44,459,30,25,24,18,18,3,0,0,2,1,0,0,1360,2,22,1384,2352,33%
5171,2,80,370,7,45,14,18,296,20,13,13,6,5,2,0,0,1,0,0,0,890,2,21,913,1448,41%
5172,2,44,177,6,29,5,13,202,10,11,15,3,6,2,0,0,0,1,0,0,524,0,20,544,943,33%
5173,3,81,325,5,39,9,30,242,21,9,22,9,11,0,0,1,0,1,0,1,806,0,17,823,1518,39%
5174,4,300,436,15,35,18,20,470,17,12,14,28,23,4,0,0,2,4,0,1,1399,0,15,1414,1791,31%
5175,3,138,284,5,35,19,23,377,24,18,27,12,8,4,0,1,2,2,2,1,982,2,23,1007,1649,28%
5176,3,211,422,16,51,22,23,421,19,12,8,15,14,5,1,0,4,3,0,1,1248,0,17,1265,1889,33%
5177,4,246,408,13,45,27,41,567,20,18,19,16,9,2,0,0,2,1,0,1,1435,2,28,1465,2349,28%
5178,4,382,429,16,47,25,29,451,12,13,15,19,16,7,0,0,2,2,0,1,1466,5,25,1496,2346,29%
5179,3,305,399,12,35,21,29,382,20,14,13,12,19,6,1,0,2,4,2,0,1276,2,15,1293,2020,31%
5180,2,150,276,14,25,11,31,315,12,13,14,10,6,0,1,0,1,2,0,0,881,5,34,920,1382,30%
5181,2,82,226,7,25,16,19,237,12,8,14,6,9,1,0,0,1,1,0,0,664,0,21,685,1066,33%
5182,1,21,126,4,10,1,14,71,5,5,5,4,1,1,0,0,0,0,0,0,268,1,5,274,456,46%
5183,2,91,231,4,27,7,34,186,11,14,7,5,6,2,0,0,3,3,1,0,632,1,18,651,1010,35%
5184,2,79,275,7,24,10,21,226,8,7,17,0,4,2,0,0,0,0,0,0,680,0,7,687,1112,40%
5185,3,122,377,16,53,17,31,440,22,19,25,12,9,2,0,1,0,1,0,1,1148,3,35,1186,2132,32%
5186,3,146,348,16,41,25,35,410,23,10,22,16,12,6,0,0,1,3,0,0,1114,1,22,1137,1893,31%
5187,2,90,278,7,41,17,17,302,23,11,16,7,6,3,0,0,0,1,0,0,819,1,17,837,1478,33%
5188,5,215,600,21,59,34,37,639,42,18,21,41,23,19,1,0,6,5,11,4,1796,2,38,1836,3027,33%
5189,3,128,316,8,43,15,32,357,25,7,10,3,13,14,0,0,3,1,10,0,985,4,25,1014,1610,31%
5190,4,87,436,12,32,18,21,354,24,10,18,10,9,5,0,0,2,5,0,0,1043,2,27,1072,2632,41%
5191,3,246,359,8,62,23,17,414,10,8,14,18,13,2,1,0,3,1,1,2,1202,1,32,1235,1835,29%
5192,2,159,296,9,31,11,24,289,10,11,17,12,8,1,1,0,5,2,0,1,887,1,14,902,1361,33%
5193,2,123,257,8,30,12,23,293,9,1,10,15,10,2,0,0,4,1,0,2,800,2,15,817,1275,31%
5194,1,43,72,2,4,7,6,83,4,21,5,6,6,0,0,0,12,0,0,0,271,0,2,273,408,26%
5195,1,29,32,2,4,6,2,38,2,0,1,1,3,0,0,0,0,1,0,1,122,1,1,124,193,26%
5196,1,41,77,1,9,0,7,46,2,1,6,1,4,1,0,0,0,1,0,0,197,0,6,203,366,38%
5197,1,49,84,0,7,7,7,72,4,3,2,3,1,0,0,0,0,0,0,0,239,1,5,245,409,34%
5198,2,138,242,10,30,13,20,291,15,3,14,11,7,2,0,0,2,1,0,0,799,0,9,808,1336,30%
5199,1,76,125,2,10,6,12,127,10,4,4,5,8,0,2,0,0,1,0,0,392,0,12,404,651,31%
5200,2,73,206,9,26,4,18,203,9,5,13,8,7,3,1,0,2,0,1,0,588,3,19,610,909,34%
5201,3,170,330,8,32,21,19,336,18,17,18,10,11,1,0,0,2,0,1,1,995,0,15,1010,1509,33%
5202,3,260,396,8,23,13,17,267,17,12,8,10,10,1,1,0,0,0,0,0,1043,0,7,1050,1507,38%
5203,4,260,498,20,47,21,51,553,34,17,12,19,21,6,0,0,1,5,0,2,1567,2,30,1599,2824,31%
5204,1,27,57,0,2,1,1,34,0,0,1,2,1,1,0,0,0,0,0,0,127,0,1,128,163,45%
5205,1,92,129,3,19,9,9,198,7,3,11,4,7,1,0,0,1,0,0,0,493,3,15,511,665,25%
5206,2,122,154,3,16,11,14,164,6,5,4,13,6,3,0,0,1,1,0,1,524,0,10,534,794,29%
5207,1,116,146,8,21,3,9,124,2,4,12,8,7,0,0,0,0,0,1,0,461,1,9,471,699,31%
5208,1,33,65,0,6,5,5,45,0,1,5,5,2,1,0,0,0,0,0,0,173,1,4,178,266,37%
5209,1,36,54,1,10,1,5,75,2,0,0,4,3,1,0,0,0,1,0,0,193,0,6,199,325,27%
5210,1,59,91,4,17,8,3,96,1,4,4,3,2,2,6,0,0,0,0,0,300,1,4,305,461,30%
5211,1,81,97,3,10,6,2,103,2,1,8,10,5,3,0,0,1,0,0,0,332,0,6,338,526,29%
5212,1,49,47,4,4,8,4,77,1,2,2,7,3,0,1,0,0,2,0,1,212,0,3,215,307,22%
5213,2,150,181,7,17,8,11,177,11,1,6,8,16,0,0,0,6,0,1,0,600,0,12,612,919,30%
5214,2,196,269,13,14,14,12,279,28,7,7,16,8,2,0,0,0,2,0,1,868,0,11,879,1294,31%
5215,2,137,185,4,14,14,10,148,0,2,8,14,3,3,0,0,1,0,0,0,543,0,8,551,789,34%
5216,2,166,177,5,17,12,11,163,3,1,6,9,9,1,0,0,2,0,0,0,582,1,8,591,760,30%
5217,2,119,207,3,21,27,23,256,13,8,5,9,12,1,0,1,0,2,5,0,712,1,11,724,1073,29%
5218,2,206,243,16,15,17,23,335,7,5,5,27,11,2,0,0,1,1,0,2,916,0,7,923,1232,26%
5219,2,181,366,11,27,27,14,351,9,9,11,14,11,0,0,0,2,1,0,1,1035,1,15,1051,1450,35%
5220,2,127,252,5,25,9,16,223,5,12,10,10,12,2,0,0,1,2,0,0,711,0,12,723,1058,35%
5221,2,112,213,5,7,13,9,143,3,8,4,17,6,3,0,0,0,0,0,1,544,3,5,552,791,39%
5222,2,61,119,7,4,1,5,101,2,3,3,4,3,0,1,0,0,2,0,0,316,0,8,324,899,37%
5223,2,108,215,7,26,12,14,228,5,6,6,12,6,3,1,0,4,0,0,1,654,0,17,671,1077,32%
5224,2,144,193,9,21,10,15,181,8,5,11,2,7,1,0,1,1,1,0,0,610,2,8,620,923,31%
5225,2,154,199,9,15,12,13,193,5,7,4,9,6,0,0,0,2,1,0,0,629,1,10,640,874,31%
5226,2,162,187,3,19,12,11,223,6,6,13,8,8,1,0,0,1,1,0,2,663,2,10,675,1029,28%
5227,2,160,284,9,30,16,29,238,15,8,13,11,14,1,0,2,1,4,0,0,835,0,18,853,1247,33%
5228,2,117,240,3,38,12,11,214,6,8,10,7,9,2,0,0,0,2,0,0,679,3,14,696,1021,34%
5229,2,120,250,2,16,17,16,218,8,9,7,4,6,1,0,1,1,1,0,0,677,0,10,687,1020,36%
5230,2,108,184,5,13,6,10,164,12,4,8,15,9,2,0,0,0,1,0,0,541,0,10,551,763,33%
5231,2,206,286,7,34,26,26,273,15,5,11,5,5,6,0,0,1,2,0,0,908,1,17,926,1374,31%
5232,3,208,328,10,46,21,14,288,11,14,16,16,11,4,0,1,1,2,1,0,992,4,16,1012,1629,32%
5233,2,195,240,7,19,14,3,139,4,2,2,15,9,2,0,0,1,2,0,0,654,0,3,657,859,37%
5234,2,137,190,5,23,16,14,234,4,7,6,15,9,1,0,0,2,2,0,1,666,1,14,681,923,28%
5235,2,133,265,9,23,17,25,205,5,11,8,13,7,1,0,0,3,2,0,0,727,2,19,748,1075,35%
5236,3,169,334,8,24,36,14,487,3,4,4,40,7,6,0,1,4,0,0,0,1141,0,13,1154,1531,29%
5237,3,166,306,13,43,25,23,353,8,7,12,12,13,4,0,1,1,2,1,0,990,2,22,1014,1576,30%
5238,2,141,251,8,28,19,7,214,3,5,4,14,6,2,0,0,3,1,1,0,707,0,11,718,934,35%
5239,2,102,225,4,24,13,17,202,7,6,10,13,3,3,0,1,0,3,3,0,636,1,12,649,921,35%
5240,2,181,348,9,23,16,20,319,9,8,10,15,17,2,0,0,6,3,0,0,986,0,14,1000,1434,35%
5241,2,175,331,6,23,13,12,259,14,6,10,7,26,0,0,2,1,3,0,1,889,0,7,896,1209,37%
5242,2,212,269,9,35,15,28,288,12,10,13,13,13,2,0,0,1,2,1,0,923,3,22,948,1495,28%
5243,2,161,209,6,17,9,18,219,14,8,8,18,7,2,0,0,1,0,0,0,697,4,16,717,1113,29%
5244,2,140,279,12,31,14,22,271,14,17,17,9,2,4,0,0,1,0,0,0,833,0,12,845,1415,33%
5245,3,179,291,12,43,13,17,331,16,3,16,7,7,3,1,0,0,1,0,0,940,1,16,957,1547,30%
