SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PARTICIPACIÓN,% PRI
5169,4,4,114,397,10,38,51,72,637,FALSO,7,2,13,0,1,0,6,0,0,0,0,0,40,0,9,4,1401,2,35,1438,2369,61%,28%
5170,4,4,222,445,12,61,24,125,643,FALSO,19,5,17,1,0,0,6,1,0,0,0,0,28,1,6,8,1624,3,33,1660,2317,72%,27%
5171,2,2,121,354,6,31,10,77,360,FALSO,6,2,13,0,0,0,1,0,0,0,0,0,24,2,5,2,1014,0,11,1025,1485,69%,35%
5172,2,2,69,164,6,16,13,46,338,FALSO,6,0,5,1,0,0,1,0,0,0,0,0,7,0,4,3,679,2,20,701,950,74%,23%
5173,3,3,76,336,10,42,13,93,328,#¡CALC!,2,1,8,0,0,0,6,0,0,0,1,0,27,2,7,2,954,0,28,982,1517,65%,34%
5174,4,4,375,434,13,36,21,88,365,#¡CALC!,12,4,17,0,4,0,6,0,0,0,0,0,13,1,2,4,1395,2,16,1413,1831,77%,31%
5175,3,3,193,317,13,43,20,87,448,FALSO,6,1,30,0,0,1,2,0,0,0,0,0,28,1,4,3,1197,0,19,1216,1670,73%,26%
5176,3,3,288,466,11,27,16,108,417,#¡CALC!,8,3,27,1,1,0,6,3,0,0,0,0,27,1,3,6,1419,1,21,1441,1876,77%,32%
5177,5,5,329,455,15,60,24,176,597,FALSO,9,3,21,0,0,0,11,0,0,0,1,0,28,3,5,9,1746,3,32,1781,2413,74%,26%
5178,4,4,504,479,10,41,18,123,436,#¡CALC!,7,4,32,0,0,0,8,2,7,0,0,0,18,0,2,2,1693,1,30,1724,2359,73%,28%
5179,3,3,402,486,23,25,17,113,427,#¡CALC!,5,3,35,0,0,0,10,0,0,1,1,1,14,0,4,5,1572,3,31,1606,2129,75%,30%
5180,2,2,229,342,7,24,11,83,312,#¡CALC!,5,0,8,0,0,0,2,0,0,0,0,0,9,0,0,3,1035,0,17,1052,1356,78%,33%
5181,2,2,141,235,8,19,12,53,232,#¡CALC!,4,0,4,0,17,0,2,0,0,0,0,0,16,1,1,0,745,1,13,759,1013,75%,31%
5182,1,1,201,7,8,9,17,123,2,#¡CALC!,1,5,0,0,1,1,0,0,0,0,0,0,8,0,0,0,383,1,11,395,465,85%,2%
5183,2,2,101,250,4,13,7,60,255,FALSO,4,3,11,0,0,0,9,0,1,0,0,0,13,0,2,2,735,3,12,750,994,75%,33%
5184,2,2,103,241,7,37,12,64,278,FALSO,3,11,8,1,0,0,4,1,0,0,0,0,18,0,8,3,799,0,16,815,1117,73%,30%
5185,3,3,127,419,27,38,30,124,579,FALSO,5,2,2,0,0,0,1,0,0,0,0,0,11,0,0,20,1385,2,35,1422,2148,66%,29%
5186,3,3,203,445,9,40,15,118,455,FALSO,14,21,28,2,0,0,7,0,0,0,1,0,29,2,4,0,1393,1,23,1417,1898,75%,31%
5187,3,3,106,289,8,37,13,88,379,FALSO,12,0,22,0,0,0,1,0,0,0,0,0,24,0,3,6,988,3,12,1003,1527,66%,29%
5188,5,5,294,636,18,52,41,143,805,FALSO,11,4,19,0,0,0,4,1,0,0,0,0,57,1,13,4,2103,6,45,2154,3137,69%,30%
5189,3,3,175,315,10,33,14,76,466,FALSO,9,2,15,0,0,0,1,0,0,0,0,0,18,0,2,3,1139,1,27,1167,1649,71%,27%
5190,4,4,101,471,16,83,42,154,777,FALSO,15,5,23,0,3,0,9,0,0,0,0,0,41,5,6,7,1758,1,43,1802,2758,65%,26%
5191,3,3,308,467,15,35,18,98,416,#¡CALC!,13,6,31,0,0,0,5,0,0,1,1,0,17,0,1,6,1438,0,37,1475,1852,80%,32%
5192,2,2,240,358,11,23,9,62,265,#¡CALC!,7,1,18,0,0,0,5,2,0,1,0,0,15,0,1,2,1020,3,16,1039,1376,76%,34%
5193,2,2,201,286,12,24,7,79,249,#¡CALC!,5,1,12,0,0,0,2,1,0,1,0,0,12,1,0,1,894,3,24,921,1274,72%,31%
5194,1,1,66,92,1,2,7,20,94,FALSO,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,2,296,0,4,300,400,75%,31%
5195,1,1,43,41,0,0,2,8,29,#¡CALC!,0,1,3,0,0,0,0,0,0,0,0,0,4,0,0,1,132,0,1,133,173,77%,31%
5196,1,1,59,74,0,3,6,16,65,#¡CALC!,3,0,7,0,0,0,1,0,0,0,0,0,3,0,0,1,238,0,3,241,341,71%,31%
5197,1,1,61,85,2,7,1,20,68,#¡CALC!,3,2,6,0,0,0,1,0,0,1,0,0,4,0,0,0,261,0,6,267,372,72%,32%
5198,2,2,184,303,13,23,17,67,294,#¡CALC!,8,3,21,0,0,0,0,0,0,0,0,0,13,0,1,2,949,2,18,969,1304,74%,31%
5199,1,1,102,151,1,10,4,33,134,#¡CALC!,1,2,10,0,0,0,2,0,0,0,0,0,8,0,1,2,461,0,12,473,625,76%,32%
5200,2,2,91,209,4,17,14,53,190,#¡CALC!,7,1,13,0,0,0,4,1,0,0,0,0,13,1,4,2,624,1,17,642,868,74%,33%
5201,3,3,244,333,3,34,17,88,368,FALSO,7,3,35,1,0,0,4,1,0,1,0,0,18,3,2,6,1168,0,13,1181,1547,76%,28%
5202,3,3,339,380,10,23,14,68,315,#¡CALC!,10,3,15,2,0,0,7,1,0,0,0,0,10,0,3,1,1201,0,17,1218,1540,79%,31%
